"Real GDP by metropolitan area (millions of chained 2009 dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"25980","Hinesville, GA (Metropolitan Statistical Area)",2307,2295,2455,2552,2717,2751,2763,3024,3079,3281,3421,3281,3268,3130,3076
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)",2709,2810,2966,3031,3267,3341,3366,3125,3180,3262,3131,3034,2965,2730,2677
"26300","Hot Springs, AR (Metropolitan Statistical Area)",2426,2444,2497,2584,2681,2724,2681,2686,2575,2704,2880,3000,3096,3114,3021
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)",7724,7085,7001,6977,7243,8482,9175,9682,10409,10629,10259,10859,11271,11412,10521
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",313611,314184,309847,329152,329731,351127,376961,370986,374070,378776,392018,414764,438899,450740,471290
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",10419,10807,10926,11156,11304,11453,11559,11928,12139,12100,11831,12199,13279,13179,13151
"26620","Huntsville, AL (Metropolitan Statistical Area)",14343,15538,16624,17728,18525,19224,19523,19917,20083,21053,21310,21298,21316,21581,22009
"26820","Idaho Falls, ID (Metropolitan Statistical Area)",3738,3965,4068,4252,4404,4680,4828,5056,5027,4996,4998,4966,4950,4915,5158
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",95318,96360,98699,103674,104921,107777,109688,110918,106687,110320,110221,110358,113873,116650,118294
"26980","Iowa City, IA (Metropolitan Statistical Area)",6369,6258,6411,6673,6727,6970,7094,7161,7169,7368,7614,7840,8136,8369,8391
"27060","Ithaca, NY (Metropolitan Statistical Area)",3617,3715,3908,3933,3980,3980,3982,4135,4181,4222,4188,4255,4252,4217,4275
"27100","Jackson, MI (Metropolitan Statistical Area)",5116,5255,5188,5299,5394,5302,5275,5021,4695,4985,5098,5039,5401,5268,5226
"27140","Jackson, MS (Metropolitan Statistical Area)",20675,21286,21868,22601,22750,23554,24181,24606,24185,24825,25334,25915,25908,26062,26062
"27180","Jackson, TN (Metropolitan Statistical Area)",4719,4927,5118,5152,5228,5275,4975,5131,4966,4983,5123,5320,5419,5405,5402
"27260","Jacksonville, FL (Metropolitan Statistical Area)",49765,51390,54530,56758,59442,62752,62678,59665,56178,56602,55967,56995,57423,58773,60317
"27340","Jacksonville, NC (Metropolitan Statistical Area)",5038,4797,4967,5409,5649,5743,6000,6619,7218,7601,7518,7390,7248,7151,7120
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)",4905,5362,5519,5503,5398,5789,5610,5256,4795,4893,5062,5154,5428,5353,5386
"27620","Jefferson City, MO (Metropolitan Statistical Area)",5612,5473,5728,5937,5970,6009,5994,5977,5989,6125,5930,5850,6089,6045,5990
"27740","Johnson City, TN (Metropolitan Statistical Area)",4783,5021,5291,5633,5726,5803,5762,5935,5880,5665,5779,5891,5810,5822,5871
